Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              , Positive  ,15/01/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
 Traffic was terrible this morning.                 , Negative  ,15/01/2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
 Just finished an amazing workout! 💪               , Positive  ,15/01/2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
 Excited about the upcoming weekend getaway!        , Positive  ,15/01/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
 Trying out a new recipe for dinner tonight.        , Neutral   ,15/01/2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
 Feeling grateful for the little things in life.    , Positive  ,16/01/2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   , Positive  ,16/01/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
 The new movie release is a must-watch!             , Positive  ,16/01/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
 Political discussions heating up on the timeline.  , Negative  ,17/01/2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
 Missing summer vibes and beach days.               , Neutral   ,17/01/2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
 Just published a new blog post. Check it out!      , Positive  ,17/01/2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
 Feeling a bit under the weather today.             , Negative  ,18/01/2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
 Exploring the city's hidden gems.                  , Positive  ,18/01/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
" New year, new fitness goals! 💪                    ", Positive  ,18/01/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
 Technology is changing the way we live.            , Neutral   ,19/01/2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
 Reflecting on the past and looking ahead.          , Positive  ,19/01/2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
 Just adopted a cute furry friend! 🐾              , Positive  ,19/01/2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
 Late-night gaming session with friends.            , Positive  ,20/01/2023 00:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
 Attending a virtual conference on AI.              , Neutral   ,20/01/2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
 Winter blues got me feeling low.                   , Negative  ,20/01/2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
 Sipping coffee and enjoying a good book.           , Positive  ,21/01/2023 08:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8
 Exploring the world of virtual reality.            , Positive  ,21/01/2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13
 Productive day ticking off my to-do list.          , Positive  ,21/01/2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
 Just finished a challenging workout routine.       , Positive  ,22/01/2023 09:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
 Celebrating a milestone at work! 🎉               , Positive  ,22/01/2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14
 Sunday brunch with friends.                        , Positive  ,22/01/2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
 Learning a new language for personal growth.       , Positive  ,23/01/2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16
 Quiet evening with a good book.                    , Positive  ,23/01/2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
 Reflecting on the importance of mental health.     , Positive  ,24/01/2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
 New painting in progress! 🎨                       , Positive  ,24/01/2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
 Weekend road trip to explore scenic views.         , Positive  ,24/01/2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
 Enjoying a cup of tea and watching the sunset.     , Positive  ,25/01/2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
 Coding a new project with enthusiasm.              , Positive  ,25/01/2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13
 Feeling inspired after attending a workshop.       , Positive  ,26/01/2023 09:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
 Winter sports day at the local park.               , Positive  ,26/01/2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14
 Quality time with family this weekend.             , Positive  ,26/01/2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17
 Attending a live music concert tonight.            , Positive  ,27/01/2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
 Practicing mindfulness with meditation.            , Positive  ,27/01/2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12
 Trying out a new dessert recipe.                   , Positive  ,27/01/2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16
 Excited about the upcoming gaming tournament.      , Positive  ,28/01/2023 09:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
 Planning a garden makeover for spring.             , Positive  ,28/01/2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14
 Celebrating a friend's birthday tonight! 🎂       , Positive  ,28/01/2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19
 Feeling accomplished after a productive day.       , Positive  ,29/01/2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
 A cozy evening with a good movie.                 , Positive  ,29/01/2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20
 Exploring local art galleries this weekend.        , Positive  ,30/01/2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11
 New book release from my favorite author!          , Positive  ,30/01/2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
 Attending a virtual reality meetup.                , Positive  ,30/01/2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18
 Reflecting on the beauty of nature.                , Positive  ,31/01/2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10
 Cooking a special dinner for loved ones.           , Positive  ,31/01/2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
 Feeling optimistic about the week ahead.           , Positive  ,31/01/2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16
 Starting a new fitness challenge tomorrow! 💪     , Positive  ,01/02/2023 08:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8
 Sunday bike ride through scenic trails.           , Positive  ,01/02/2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
 Can't believe the injustice happening in our society., Anger        ,11/02/2023 09:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9
 Feeling a sense of fear after watching a thriller movie. , Fear         ,11/02/2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
 Heartbroken after hearing the news about a natural disaster. , Sadness      ,12/02/2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14
 The state of the world's environment is just disgusting. , Disgust      ,12/02/2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,13/02/2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
 Laughter is the best medicine—enjoying a comedy show. , Joy          ,13/02/2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19
 Sharing love and positive vibes with everyone! ❤️      , Love         ,14/02/2023 08:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8
 An amusing incident brightened up my day!               , Amusement    ,14/02/2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
 Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,14/02/2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19
 Admiring the beauty of nature during a peaceful hike.   , Admiration   ,15/02/2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11
 Sending affectionate vibes to all my followers!          , Affection    ,15/02/2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
 Experiencing awe at the breathtaking sunset.            , Awe          ,15/02/2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20
 Disappointed with the service at a local restaurant.    , Disappointed ,16/02/2023 09:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9
 A surprise gift from a friend made my day!              , Surprise     ,16/02/2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
 Finding acceptance in the midst of life's challenges.   , Acceptance   ,16/02/2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18
 Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,17/02/2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,17/02/2023 07:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
 A bitter experience turned into a valuable lesson.      , Bitter       ,17/02/2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15
 Finding calmness in the midst of a busy day.            , Calmness     ,18/02/2023 09:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9
 Confusion clouds my mind as I navigate through decisions., Confusion    ,18/02/2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
 Excitement building up for the upcoming vacation!       , Excitement   ,18/02/2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18
 Kindness witnessed today restored my faith in humanity. , Kind         ,19/02/2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11
 Pride in achieving a personal milestone.               , Pride        ,19/02/2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
 A moment of shame for not standing up against injustice. , Shame        ,19/02/2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19
 Fuming with anger after a heated argument.            , Anger        ,20/02/2023 09:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9
 The fear of the unknown is keeping me up at night.    , Fear         ,20/02/2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
 Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,21/02/2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14
 The state of corruption in our society is utterly disgusting. , Disgust      ,21/02/2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18
 Overflowing happiness: welcoming a new family member!  , Happiness    ,22/02/2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
 Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,22/02/2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19
 Sending love to all my followers on this beautiful day! ❤️ , Love         ,23/02/2023 08:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8
 Amused by the antics of my pet—it's pure amusement!      , Amusement    ,23/02/2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14
 Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,23/02/2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19
 Admiring the dedication of volunteers at a local charity. , Admiration   ,24/02/2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11
 Sending affectionate vibes to friends and family.        , Affection    ,24/02/2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16
 Awe-struck by the beauty of the night sky.               , Awe          ,24/02/2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20
 Disappointed with the lack of progress in a personal project. , Disappointed ,25/02/2023 09:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9
 A surprise visit from an old friend brought tears of joy. , Surprise     ,25/02/2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14
 Embracing acceptance of life's ups and downs.           , Acceptance   ,25/02/2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18
 Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,26/02/2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10
 Anticipating the release of a much-awaited movie.       , Anticipation ,26/02/2023 07:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7
 Bitter experience at the customer service department.   , Bitter       ,26/02/2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15
 Finding calmness amidst the chaos of daily life.        , Calmness     ,27/02/2023 09:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9
 Confusion reigns as I try to make sense of recent events., Confusion    ,27/02/2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14
 Excitement building up for a surprise birthday party.   , Excitement   ,27/02/2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18
 Witnessed an act of kindness that made my day.          , Kind         ,28/02/2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11
 Pride in completing a challenging fitness challenge.    , Pride        ,28/02/2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16
 A moment of shame for not speaking up against injustice., Shame        ,28/02/2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,2023,2,28,19
